Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.519	61	0	0	1	86211	4	5410	
7.519	61	0	1	1	246417	4	0	
9.519	61	0	2	4	1147923	4	0	
11.519	61	0	3	11	1288366	4	0	
13.519	61	0	4	12	1223318	4	0	
15.519	61	0	5	12	1248377	4	0	
17.519	61	0	6	13	1277338	4	0	
19.519	61	0	7	13	1211237	4	0	
21.519	61	0	8	13	1232497	4	0	
23.519	61	0	9	13	1277338	4	0	
25.519	61	0	10	13	1253238	6	0	
27.519	61	0	11	13	1232497	6	0	
29.519	61	0	12	13	1254517	6	0	
31.519	61	0	13	13	1277338	6	0	
33.519	61	0	14	13	1211237	6	0	
35.519	61	0	15	13	1232497	6	0	
37.519	61	0	16	13	1277338	6	0	
39.519	61	0	17	13	1277338	6	0	
41.519	61	0	18	13	1232497	6	0	
43.519	61	0	19	13	1254517	4	0	
45.519	61	0	20	13	1277338	4	0	
47.519	61	0	21	13	1206480	4	0	
49.519	61	0	22	13	1026995	6	0	
51.519	61	0	23	12	1041499	6	0	
53.519	61	0	24	12	1041499	6	0	
55.519	61	0	25	12	1041499	6	0	
57.519	61	0	26	12	1072034	6	0	
59.519	61	0	27	12	1249929	6	0	
15	129	0	27	13	1277338	6	0	
