Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.359	2	0	0	1	2304000	0	5358	
5.36	3	0	0	1	2304000	2	5359	
5.361	7	0	0	1	2304000	2	5360	
5.363	6	0	0	1	2363077	0	5362	
5.363	10	0	0	1	2304000	2	5362	
5.363	12	0	0	1	2247805	2	5362	
5.364	14	0	0	1	2247805	2	5363	
5.365	4	0	0	1	2304000	2	5364	
5.366	8	0	0	1	2363077	2	5365	
5.367	20	0	0	1	2247805	2	5366	
5.368	5	0	0	1	2425263	2	5367	
5.369	21	0	0	1	2363077	2	5368	
5.37	9	0	0	1	2490810	2	5369	
5.37	13	0	0	1	2363077	2	5369	
5.37	17	0	0	1	2304000	2	5369	
5.371	11	0	0	1	2304000	2	5370	
5.371	15	0	0	1	2247805	2	5370	
5.372	18	0	0	1	2304000	2	5371	
5.372	19	0	0	1	2247805	2	5371	
7.359	2	0	1	14	1389147	2	0	
7.36	3	0	1	14	2881608	2	0	
7.361	7	0	1	14	3592982	2	0	
7.363	6	0	1	14	1334202	2	0	
7.363	10	0	1	14	2397324	2	0	
7.363	12	0	1	14	2290095	2	0	
7.364	14	0	1	14	2340571	2	0	
7.365	4	0	1	14	3797616	2	0	
7.366	8	0	1	14	2290095	2	0	
7.367	20	0	1	14	2436023	2	0	
7.368	5	0	1	14	3767674	2	0	
7.369	21	0	1	14	2521723	2	0	
7.37	9	0	1	14	2465348	2	0	
7.37	13	0	1	14	2508486	2	0	
7.37	17	0	1	14	2486730	2	0	
7.371	11	0	1	14	2530626	2	0	
7.371	15	0	1	14	1556569	2	0	
7.372	18	0	1	14	2393322	2	0	
7.372	19	0	1	14	2413468	2	0	
9.359	2	0	2	14	2590063	2	0	
9.36	3	0	2	16	2656864	2	0	
9.361	7	0	2	16	2665509	2	0	
9.363	6	0	2	14	2585392	2	0	
9.363	10	0	2	14	2618447	2	0	
9.363	12	0	2	14	2557716	4	0	
9.364	14	0	2	14	2576100	4	0	
9.365	4	0	2	17	2672907	2	0	
9.366	8	0	2	14	2566875	4	0	
9.367	20	0	2	14	2576100	2	0	
9.368	5	0	2	17	2672907	2	0	
9.369	21	0	2	15	2597101	2	0	
9.37	9	0	2	15	2649907	2	0	
9.37	13	0	2	15	2601815	2	0	
9.37	17	0	2	15	2603389	2	0	
9.371	11	0	2	15	2604966	2	0	
9.371	15	0	2	14	2560000	2	0	
9.372	18	0	2	14	2585392	2	0	
9.372	19	0	2	14	2578417	2	0	
11.359	2	0	3	15	2646646	2	0	
11.36	3	0	3	16	2642580	2	0	
11.361	7	0	3	16	2664065	2	0	
11.363	6	0	3	15	2598670	2	0	
11.363	10	0	3	16	2278720	2	0	
11.363	12	0	3	15	2595534	4	0	
11.364	14	0	3	15	2597101	4	0	
11.365	4	0	3	16	2634083	2	0	
11.366	8	0	3	15	2595534	4	0	
