Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
4.611	70	0	0	1	86211	0	4510	
4.611	78	0	0	1	86211	0	4510	
4.612	72	0	0	1	86211	0	4510	
4.612	71	0	0	1	86211	0	4510	
4.612	65	0	0	1	86211	0	4510	
4.613	67	0	0	1	86211	0	4510	
4.613	77	0	0	1	86211	0	4510	
4.614	80	0	0	1	86211	0	4510	
4.614	79	0	0	1	86211	0	4510	
4.614	57	0	0	1	86211	0	4510	
4.615	61	0	0	1	86211	0	4510	
4.615	73	0	0	1	86211	0	4510	
4.615	83	0	0	1	86211	0	4510	
4.616	76	0	0	1	86211	0	4510	
4.617	66	0	0	1	86211	0	4510	
4.617	75	0	0	1	86211	0	4510	
4.617	69	0	0	1	86211	0	4510	
4.618	68	0	0	1	86211	0	4510	
4.618	81	0	0	1	86211	0	4510	
4.619	64	0	0	1	86211	0	4510	
4.62	60	0	0	1	86211	0	4510	
4.62	82	0	0	1	86211	0	4510	
4.623	74	0	0	1	86292	0	4519	
4.627	63	0	0	1	86211	0	4517	
4.655	58	0	0	1	85096	0	4552	
4.655	84	0	0	1	85096	0	4552	
4.662	59	0	0	1	85096	0	4552	
6.611	70	0	1	1	246417	4	0	
6.611	78	0	1	1	246417	4	0	
6.612	72	0	1	1	246417	4	0	
6.612	71	0	1	1	246417	4	0	
6.612	65	0	1	1	246417	4	0	
6.613	67	0	1	1	246417	4	0	
6.613	77	0	1	1	246417	4	0	
6.614	80	0	1	1	246417	4	0	
6.614	79	0	1	1	246417	4	0	
6.614	57	0	1	1	246417	4	0	
6.615	61	0	1	1	246417	4	0	
6.615	73	0	1	1	246417	4	0	
6.615	83	0	1	1	246417	4	0	
6.616	76	0	1	1	246417	4	0	
6.617	66	0	1	1	246417	4	0	
6.617	75	0	1	1	246417	4	0	
6.617	69	0	1	1	246417	4	0	
6.618	68	0	1	1	246417	4	0	
6.618	81	0	1	1	246417	4	0	
6.619	64	0	1	1	246417	4	0	
6.62	60	0	1	1	246417	4	0	
6.62	82	0	1	1	246417	4	0	
6.623	74	0	1	1	245760	4	0	
6.627	63	0	1	1	246417	4	0	
6.655	58	0	1	1	225330	4	0	
6.655	84	0	1	1	225330	4	0	
6.662	59	0	1	1	225330	4	0	
8.611	70	0	2	4	1147923	4	0	
8.611	78	0	2	4	1147923	4	0	
8.612	72	0	2	4	1147923	4	0	
8.612	71	0	2	4	1147923	4	0	
8.612	65	0	2	4	1147923	4	0	
