Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
33.4018	6	0	14	10	739737	4	0	
33.4057	10	0	14	13	669281	4	0	
33.4097	5	0	14	13	1234974	6	0	
33.4137	2	0	14	12	1300023	2	0	
33.4176	11	0	14	11	1081591	2	0	
33.4218	3	0	14	10	869593	0	0	
33.4298	9	0	14	12	911253	4	0	
35.3167	7	0	14	12	1131759	4	0	
35.3979	4	0	15	10	572994	2	0	
35.4018	6	0	15	10	617235	4	0	
35.4057	10	0	15	11	1020025	2	0	
35.4097	5	0	15	13	1062516	6	0	
35.4137	2	0	15	13	1569348	2	0	
35.4176	11	0	15	12	656376	2	0	
35.4218	3	0	15	11	812866	0	0	
35.4298	9	0	15	11	654340	4	0	
37.3167	7	0	15	12	1140746	4	0	
37.3979	4	0	16	10	914891	4	0	
37.4018	6	0	16	10	885537	4	0	
37.4057	10	0	16	11	1205626	2	0	
37.4097	5	0	16	12	1387947	6	0	
37.4137	2	0	16	14	740304	2	0	
37.4176	11	0	16	11	812866	4	0	
37.4218	3	0	16	11	727380	0	0	
37.4298	9	0	16	10	711582	4	0	
39.3167	7	0	16	12	795229	6	0	
39.3979	4	0	17	11	736209	2	0	
39.4018	6	0	17	11	1144383	4	0	
39.4057	10	0	17	12	719033	4	0	
39.4097	5	0	17	13	1610484	4	0	
39.4137	2	0	17	12	1039346	2	0	
39.4176	11	0	17	11	1100460	4	0	
39.4218	3	0	17	10	434633	0	0	
39.4298	9	0	17	10	593532	4	0	
41.3167	7	0	17	11	385847	4	0	
41.3979	4	0	18	10	836944	4	0	
41.4018	6	0	18	12	817534	4	0	
41.4057	10	0	18	11	700248	2	0	
41.4097	5	0	18	14	1919143	2	0	
41.4137	2	0	18	12	1330996	2	0	
41.4176	11	0	18	12	1357041	4	0	
41.4218	3	0	18	9	697043	0	0	
41.4298	9	0	18	10	919245	4	0	
43.3167	7	0	18	10	706809	4	0	
43.3979	4	0	19	11	660092	4	0	
43.4018	6	0	19	11	1046423	4	0	
43.4057	10	0	19	10	940120	2	0	
43.4097	5	0	19	14	1387802	2	0	
43.4137	2	0	19	13	1588623	4	0	
43.4176	11	0	19	13	1609430	2	0	
43.4218	3	0	19	10	825030	2	0	
43.4298	9	0	19	11	812866	4	0	
45.3167	7	0	19	10	934059	6	0	
45.3979	4	0	20	10	866343	4	0	
45.4018	6	0	20	12	884404	2	0	
45.4057	10	0	20	11	527587	2	0	
45.4097	5	0	20	14	521214	4	0	
45.4137	2	0	20	14	1798745	4	0	
45.4176	11	0	20	14	1658299	2	0	
45.4218	3	0	20	10	1094587	2	0	
45.4298	9	0	20	11	813704	4	0	
47.3167	7	0	20	11	449532	4	0	
47.3979	4	0	21	11	1005714	4	0	
47.4018	6	0	21	11	554681	2	0	
47.4057	10	0	21	10	548588	4	0	
47.4097	5	0	21	11	1060497	4	0	
47.4137	2	0	21	14	2083720	4	0	
47.4176	11	0	21	14	788992	2	0	
47.4218	3	0	21	11	929263	2	0	
47.4298	9	0	21	11	690437	4	0	
49.3167	7	0	21	10	823857	2	0	
49.3979	4	0	22	11	784557	4	0	
49.4018	6	0	22	10	290154	4	0	
49.4057	10	0	22	10	857372	4	0	
49.4097	5	0	22	12	1370917	4	0	
49.4137	2	0	22	14	1482523	2	0	
49.4176	11	0	22	12	707150	2	0	
49.4218	3	0	22	11	906820	2	0	
49.4298	9	0	22	10	850453	4	0	
51.3167	7	0	22	10	1002740	2	0	
51.3979	4	0	23	11	624044	4	0	
51.4018	6	0	23	8	686417	4	0	
51.4057	10	0	23	10	964366	4	0	
51.4097	5	0	23	13	1164739	2	0	
51.4137	2	0	23	14	1534082	2	0	
51.4176	11	0	23	11	866937	2	0	
51.4218	3	0	23	11	1169851	2	0	
51.4298	9	0	23	11	1145214	6	0	
53.3167	7	0	23	11	303261	4	0	
53.3979	4	0	24	10	822688	4	0	
53.4018	6	0	24	10	880826	4	0	
53.4057	10	0	24	11	1256541	4	0	
53.4097	5	0	24	12	1089456	4	0	
53.4137	2	0	24	14	1095187	2	0	
53.4176	11	0	24	11	940345	2	0	
53.4218	3	0	24	12	709645	2	0	
53.4298	9	0	24	12	892252	6	0	
