Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate,Tinit,Frebuf,Trebuf,MOS
3,5354,1.70321e+06,770238,7.14286,2.74791,0,0,NoStalling,0,0,1368.32,185.538,53.6724,1.70321e+06,3,1,1,3.1804
4,3461,1.74619e+06,467308,2.28571,1.57791,1,0.0137931,MildStalling,800,0,1441.57,187.385,33.2708,1.74619e+06,2,1,3,3.0356
5,3457,2.36643e+06,795148,1.72414,1.25661,0,0,NoStalling,0,0,2072.41,348.148,40.6665,2.36643e+06,2,1,1,3.2476
6,3466,2.24358e+06,734021,1.21429,1.44808,3,0.0293103,MildStalling,1700,0,1853.57,338.462,39.8146,2.24358e+06,2,2,3,2.2936
