Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.377	22	0	0	1	1772307	2	5376	
5.378	7	0	0	1	1772307	2	5377	
5.378	9	0	0	1	1772307	2	5377	
5.378	11	0	0	1	1645714	2	5377	
5.378	21	0	0	1	1645714	2	5377	
5.379	3	0	0	1	1960851	2	5378	
5.379	40	0	0	1	1920000	2	5378	
5.38	36	0	0	1	1645714	2	5379	
5.38	41	0	0	1	1706666	2	5379	
5.381	10	0	0	1	1920000	2	5380	
5.382	2	0	0	1	1738867	2	5381	
5.382	4	0	0	1	1616842	2	5381	
5.383	15	0	0	1	1772307	2	5382	
5.385	16	0	0	1	1706666	2	5384	
5.386	6	0	0	1	1645714	2	5385	
5.387	17	0	0	1	1562033	2	5386	
5.387	18	0	0	1	1772307	2	5386	
5.387	23	0	0	1	1588965	0	5386	
5.387	24	0	0	1	1462857	2	5386	
5.387	29	0	0	1	1588965	2	5386	
5.387	31	0	0	1	1510819	2	5386	
5.389	25	0	0	1	1588965	2	5388	
5.389	30	0	0	1	1588965	2	5388	
5.39	8	0	0	1	1645714	0	5389	
5.39	12	0	0	1	1588965	0	5389	
5.39	32	0	0	1	1562033	0	5389	
5.391	13	0	0	1	1536000	2	5390	
5.391	14	0	0	1	1536000	0	5390	
5.391	35	0	0	1	1510819	2	5390	
5.392	19	0	0	1	1536000	0	5391	
5.392	20	0	0	1	1510819	0	5391	
5.392	26	0	0	1	1510819	2	5391	
5.393	28	0	0	1	1588965	2	5392	
5.393	34	0	0	1	1510819	2	5392	
5.393	38	0	0	1	1536000	0	5392	
5.394	33	0	0	1	1536000	0	5393	
5.394	37	0	0	1	1536000	2	5393	
5.394	39	0	0	1	1536000	2	5393	
7.377	22	0	1	12	2114759	2	0	
7.378	7	0	1	12	2132700	2	0	
7.378	9	0	1	12	2144068	2	0	
7.378	11	0	1	12	2064821	2	0	
7.378	21	0	1	12	2114759	2	0	
7.379	3	0	1	13	2198211	2	0	
7.379	40	0	1	13	2186476	2	0	
7.38	36	0	1	12	2132700	2	0	
7.38	41	0	1	12	2141785	2	0	
7.381	10	0	1	13	2188423	2	0	
7.382	2	0	1	12	2130440	2	0	
7.382	4	0	1	12	2141785	2	0	
7.383	15	0	1	12	2125936	2	0	
7.385	16	0	1	12	2144068	2	0	
7.386	6	0	1	12	2092753	2	0	
7.387	17	0	1	12	2081921	2	0	
7.387	18	0	1	12	2050087	2	0	
7.387	23	0	1	12	973444	2	0	
7.387	24	0	1	11	862197	2	0	
7.387	29	0	1	12	2033504	2	0	
7.387	31	0	1	12	2081921	2	0	
7.389	25	0	1	12	2073336	2	0	
7.389	30	0	1	12	2066943	2	0	
7.39	8	0	1	12	962726	2	0	
7.39	12	0	1	12	894633	2	0	
7.39	32	0	1	12	901046	2	0	
7.391	13	0	1	12	2094933	2	0	
7.391	14	0	1	12	943309	2	0	
7.391	35	0	1	12	2071200	2	0	
7.392	19	0	1	12	961805	2	0	
7.392	20	0	1	12	965499	2	0	
7.392	26	0	1	12	2084078	2	0	
7.393	28	0	1	12	2064821	2	0	
7.393	34	0	1	12	2079768	2	0	
7.393	38	0	1	12	931081	2	0	
7.394	33	0	1	12	968755	2	0	
7.394	37	0	1	12	2077619	2	0	
7.394	39	0	1	12	2088407	2	0	
9.377	22	0	2	14	1860610	4	0	
9.378	7	0	2	14	1900066	4	0	
9.378	9	0	2	14	1959808	4	0	
9.378	11	0	2	14	1876439	4	0	
9.378	21	0	2	14	1930774	4	0	
9.379	3	0	2	14	1887557	2	0	
9.379	40	0	2	14	1864239	2	0	
9.38	36	0	2	14	1871540	4	0	
9.38	41	0	2	14	1548164	2	0	
9.381	10	0	2	14	1864239	4	0	
9.382	2	0	2	14	1920428	4	0	
9.382	4	0	2	14	1897551	4	0	
9.383	15	0	2	14	1854592	4	0	
9.385	16	0	2	14	1897551	4	0	
9.386	6	0	2	14	1558260	2	0	
9.387	17	0	2	14	1875212	4	0	
9.387	18	0	2	14	1865452	4	0	
9.387	23	0	2	12	1784504	2	0	
9.387	24	0	2	11	1740574	2	0	
9.387	29	0	2	14	1861818	4	0	
9.387	31	0	2	14	1875212	4	0	
9.389	25	0	2	14	1837948	4	0	
9.389	30	0	2	14	1860610	4	0	
9.39	8	0	2	12	1729265	2	0	
9.39	12	0	2	11	1727228	2	0	
9.39	32	0	2	11	1727228	2	0	
9.391	13	0	2	14	1873986	4	0	
9.391	14	0	2	11	1763937	2	0	
9.391	35	0	2	14	1870319	4	0	
9.392	19	0	2	11	1727228	2	0	
9.392	20	0	2	11	1719694	2	0	
9.392	26	0	2	14	1871540	4	0	
9.393	28	0	2	14	1866666	4	0	
9.393	34	0	2	14	1873986	4	0	
9.393	38	0	2	11	1767892	2	0	
9.394	33	0	2	12	1723338	2	0	
9.394	37	0	2	14	1872762	4	0	
9.394	39	0	2	14	1875212	4	0	
11.377	22	0	3	14	1744038	4	0	
11.378	7	0	3	14	1797617	4	0	
11.378	9	0	3	14	1727228	4	0	
11.378	11	0	3	14	1811244	4	0	
11.378	21	0	3	14	1780869	4	0	
11.379	3	0	3	14	1732447	4	0	
11.379	40	0	3	14	1707683	4	0	
11.38	36	0	3	14	1798745	4	0	
11.38	41	0	3	14	1735593	4	0	
11.381	10	0	3	14	1803270	4	0	
11.382	2	0	3	14	1735593	4	0	
11.382	4	0	3	14	1806679	4	0	
11.383	15	0	3	14	1790880	4	0	
11.385	16	0	3	14	1737697	4	0	
11.386	6	0	3	14	1739805	4	0	
11.387	17	0	3	14	1804405	4	0	
11.387	18	0	3	14	1750427	4	0	
11.387	23	0	3	14	1793120	2	0	
11.387	24	0	3	14	1737697	4	0	
11.387	29	0	3	14	1810101	4	0	
11.387	31	0	3	14	1790880	4	0	
11.389	25	0	3	14	1735593	4	0	
11.389	30	0	3	14	1806679	4	0	
11.39	8	0	3	14	1707683	2	0	
11.39	12	0	3	14	1734543	2	0	
11.39	32	0	3	14	1732447	2	0	
11.391	13	0	3	14	1735593	4	0	
11.391	14	0	3	14	1798745	2	0	
11.391	35	0	3	14	1808959	4	0	
