Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
3.579	5	0	0	1	2648275	0	3578	
3.58	4	0	0	1	2442402	0	3579	
3.683	6	0	0	1	2281188	0	3682	
6.93	3	0	0	1	278597	0	6929	
18.579	5	0	1	14	2798542	0	0	
18.58	4	0	1	14	2320241	0	0	
18.683	6	0	1	14	1776309	0	0	
21.93	3	0	1	4	807214	15	0	
33.579	5	0	2	16	2243018	0	0	
33.58	4	0	2	14	2666666	0	0	
33.683	6	0	2	14	1473987	0	0	
36.93	3	0	2	10	1341836	15	0	
48.579	5	0	3	15	1560749	0	0	
48.58	4	0	3	16	2801215	0	0	
48.683	6	0	3	14	2830591	0	0	
51.93	3	0	3	12	1269229	30	0	
