Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.516	111	0	0	1	86211	4	5410	
7.516	111	0	1	1	246417	4	0	
9.516	111	0	2	4	1147923	4	0	
11.516	111	0	3	11	1288366	4	0	
13.516	111	0	4	12	1223318	4	0	
15.516	111	0	5	12	1248377	4	0	
17.516	111	0	6	13	1277338	4	0	
19.516	111	0	7	13	1211237	4	0	
21.516	111	0	8	13	1232497	4	0	
23.516	111	0	9	13	1277338	4	0	
25.516	111	0	10	13	1253238	6	0	
27.516	111	0	11	13	1232497	6	0	
29.516	111	0	12	13	1254517	6	0	
31.516	111	0	13	13	1277338	6	0	
33.516	111	0	14	13	1211237	6	0	
35.516	111	0	15	13	1232497	6	0	
37.516	111	0	16	13	1277338	6	0	
39.516	111	0	17	13	1277338	6	0	
41.516	111	0	18	13	1232497	6	0	
43.516	111	0	19	13	1254517	6	0	
45.516	111	0	20	13	1277338	6	0	
47.516	111	0	21	13	1211237	6	0	
49.516	111	0	22	13	1232497	6	0	
51.516	111	0	23	13	1277338	6	0	
53.516	111	0	24	13	1253238	6	0	
55.516	111	0	25	13	1232497	6	0	
57.516	111	0	26	13	1254517	6	0	
59.516	111	0	27	13	1277338	6	0	
