ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
2,0,2,40,0,3337,800,480
3,0,2,40,0,3337,1024,600
4,0,2,40,0,3337,1240,720
5,0,2,40,0,3337,800,480
6,0,2,40,0,3337,1240,720
