Node,RequestDuration,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter
2,38,6327,9.17025,1.08067,0.000790264,12228,87.32,3.3345
3,38,9162,8.70149,0.956389,0.000109146,17999,88.4422,2.35616
4,38,5762,9.32803,1.12452,0.000347102,11102,87.8196,3.6232
5,38,6831,9.08536,1.05729,0.000439174,13332,88.4671,3.05292
6,38,6647,9.06925,1.05678,0.000150444,12919,88.1737,3.05878
