Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.525	67	0	0	1	86211	4	5417	
7.525	67	0	1	1	246417	4	0	
9.525	67	0	2	4	1147923	4	0	
11.525	67	0	3	11	1288366	4	0	
13.525	67	0	4	12	1223318	4	0	
15.525	67	0	5	12	1248377	4	0	
17.525	67	0	6	13	1277338	4	0	
19.525	67	0	7	13	1211237	4	0	
21.525	67	0	8	13	1232497	4	0	
23.525	67	0	9	13	1277338	4	0	
25.525	67	0	10	13	1253238	6	0	
27.525	67	0	11	13	1232497	6	0	
29.525	67	0	12	13	1254517	6	0	
31.525	67	0	13	13	1277338	6	0	
33.525	67	0	14	13	1211237	6	0	
35.525	67	0	15	13	1232497	6	0	
37.525	67	0	16	13	1277338	6	0	
39.525	67	0	17	13	1277338	6	0	
41.525	67	0	18	13	1232497	6	0	
43.525	67	0	19	13	1254517	6	0	
45.525	67	0	20	13	1277338	6	0	
47.525	67	0	21	13	1211237	6	0	
49.525	67	0	22	13	1232497	6	0	
51.525	67	0	23	13	1277338	6	0	
53.525	67	0	24	13	1253238	6	0	
55.525	67	0	25	13	1232497	6	0	
57.525	67	0	26	13	1254517	6	0	
59.525	67	0	27	13	1277338	6	0	
18	118	0	27	12	1041499	6	0	
