Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.515	182	0	0	1	86211	4	5410	
7.515	182	0	1	1	246417	4	0	
9.515	182	0	2	4	1147923	4	0	
11.515	182	0	3	11	1288366	4	0	
13.515	182	0	4	12	1202832	4	0	
15.515	182	0	5	12	1248377	4	0	
17.515	182	0	6	13	1277338	4	0	
19.515	182	0	7	13	1211237	4	0	
21.515	182	0	8	13	1228185	4	0	
23.515	182	0	9	13	1277338	4	0	
25.515	182	0	10	13	1253238	6	0	
27.515	182	0	11	13	1232497	4	0	
29.515	182	0	12	13	1254517	4	0	
31.515	182	0	13	13	1277338	6	0	
33.515	182	0	14	13	1211237	6	0	
35.515	182	0	15	13	1232497	6	0	
37.515	182	0	16	13	1277338	6	0	
39.515	182	0	17	13	1277338	6	0	
41.515	182	0	18	13	1232497	6	0	
43.515	182	0	19	13	1254517	6	0	
45.515	182	0	20	13	1277338	6	0	
47.515	182	0	21	13	1211237	6	0	
49.515	182	0	22	13	1232497	6	0	
51.515	182	0	23	13	1277338	6	0	
53.515	182	0	24	13	1253238	6	0	
55.515	182	0	25	13	1232497	6	0	
57.515	182	0	26	13	1254517	6	0	
59.515	182	0	27	13	1277338	6	0	
