Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
4.611	68	0	0	1	86211	0	4510	
4.611	86	0	0	1	86211	0	4510	
4.611	103	0	0	1	86211	0	4510	
4.611	85	0	0	1	86211	0	4510	
4.611	77	0	0	1	86211	0	4510	
4.612	76	0	0	1	86211	0	4510	
4.612	84	0	0	1	86211	0	4511	
4.612	71	0	0	1	86211	0	4510	
4.613	74	0	0	1	86211	0	4510	
4.613	88	0	0	1	86211	0	4510	
4.613	104	0	0	1	86211	0	4510	
4.613	81	0	0	1	86211	0	4510	
4.614	58	0	0	1	86211	0	4510	
4.614	105	0	0	1	86211	0	4510	
4.614	100	0	0	1	86211	0	4510	
4.614	83	0	0	1	86211	0	4510	
4.615	59	0	0	1	86211	0	4510	
4.615	110	0	0	1	86211	0	4510	
4.615	87	0	0	1	86211	0	4510	
4.615	57	0	0	1	86211	0	4510	
4.615	82	0	0	1	86211	0	4510	
4.616	69	0	0	1	86211	0	4510	
4.616	90	0	0	1	86211	0	4510	
4.616	93	0	0	1	86211	0	4510	
4.616	98	0	0	1	86211	0	4510	
4.616	78	0	0	1	85571	0	4510	
4.616	99	0	0	1	86211	0	4510	
4.617	66	0	0	1	86211	0	4510	
4.617	61	0	0	1	86211	0	4510	
4.617	101	0	0	1	86211	0	4510	
4.617	79	0	0	1	86211	0	4510	
4.619	72	0	0	1	86211	0	4511	
4.619	60	0	0	1	86211	0	4510	
4.619	107	0	0	1	86211	0	4510	
4.619	111	0	0	1	86211	0	4510	
4.619	92	0	0	1	86211	0	4511	
4.62	95	0	0	1	86211	0	4510	
4.62	96	0	0	1	86211	0	4510	
4.62	70	0	0	1	86211	0	4510	
4.622	63	0	0	1	86211	0	4517	
4.624	75	0	0	1	85650	0	4517	
4.625	64	0	0	1	85650	0	4524	
4.625	97	0	0	1	85650	0	4524	
4.626	80	0	0	1	86211	0	4517	
4.632	109	0	0	1	85650	0	4531	
4.632	106	0	0	1	85650	0	4531	
4.633	108	0	0	1	86130	0	4524	
4.658	89	0	0	1	85096	0	4552	
4.658	73	0	0	1	85096	0	4552	
4.66	113	0	0	1	85096	0	4552	
4.66	67	0	0	1	85096	0	4552	
4.66	112	0	0	1	85096	0	4552	
4.66	65	0	0	1	85096	0	4552	
4.66	102	0	0	1	85096	0	4552	
6.611	68	0	1	1	246417	4	0	
6.611	86	0	1	1	246417	4	0	
