Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
3.458	5	0	0	1	2094545	0	3457	
3.46195	4	0	0	1	2143255	0	3461	
3.467	6	0	0	1	2094545	0	3466	
5.35418	3	0	0	1	271858	0	5354	
5.458	5	0	1	13	2767567	0	0	
5.467	6	0	1	13	2634083	0	0	
6.26195	4	0	1	14	1018543	0	800	
7.35418	3	0	1	4	371213	2	0	
7.458	5	0	2	15	3685347	2	0	
7.467	6	0	2	15	3779261	0	0	
8.26195	4	0	2	12	1596139	0	0	
9.35418	3	0	2	6	524968	2	0	
9.458	5	0	3	17	3316136	2	0	
9.467	6	0	3	18	2420982	0	0	
10.262	4	0	3	14	1632801	0	0	
11.3542	3	0	3	8	736314	4	0	
11.458	5	0	4	18	3506474	2	0	
11.767	6	0	4	16	1389652	0	300	
12.262	4	0	4	14	1193175	0	0	
13.3542	3	0	4	10	891667	4	0	
13.458	5	0	5	18	4343008	2	0	
14.262	4	0	5	13	1801759	0	0	
14.367	6	0	5	14	1113908	0	600	
15.3542	3	0	5	11	1233928	6	0	
15.458	5	0	6	20	3516287	2	0	
16.262	4	0	6	14	1897551	2	0	
16.367	6	0	6	13	1307234	0	0	
17.3542	3	0	6	12	1439610	6	0	
17.458	5	0	7	19	2720303	0	0	
18.262	4	0	7	14	2048000	2	0	
18.367	6	0	7	13	1543718	0	0	
19.3542	3	0	7	13	2102309	6	0	
19.458	5	0	8	17	2829538	0	0	
20.262	4	0	8	14	2284621	2	0	
20.367	6	0	8	14	2068686	0	0	
21.3542	3	0	8	14	2094375	6	0	
21.458	5	0	9	17	2249697	0	0	
22.262	4	0	9	15	1891292	2	0	
22.367	6	0	9	14	2314124	2	0	
23.3542	3	0	9	14	1432883	6	0	
23.458	5	0	10	16	1886833	0	0	
24.262	4	0	10	14	1658299	2	0	
24.367	6	0	10	15	2496111	2	0	
25.3542	3	0	10	14	1430738	6	0	
25.458	5	0	11	14	1678688	0	0	
26.262	4	0	11	14	1445890	2	0	
26.367	6	0	11	15	3635503	2	0	
27.3542	3	0	11	14	1933378	6	0	
27.458	5	0	12	14	1705651	0	0	
28.262	4	0	12	14	1507465	2	0	
28.367	6	0	12	17	3275896	2	0	
29.3542	3	0	12	14	1880131	8	0	
29.458	5	0	13	14	2005035	2	0	
30.262	4	0	13	14	1230558	2	0	
30.367	6	0	13	18	3220442	2	0	
31.3542	3	0	13	14	1200167	8	0	
31.458	5	0	14	14	2459005	2	0	
32.262	4	0	14	13	1269421	2	0	
32.367	6	0	14	18	2181624	2	0	
33.3542	3	0	14	14	1448080	10	0	
33.458	5	0	15	15	1945183	2	0	
34.262	4	0	15	13	1506805	2	0	
34.367	6	0	15	16	2364213	0	0	
35.3542	3	0	15	14	1776456	10	0	
35.458	5	0	16	14	1678688	2	0	
36.262	4	0	16	14	1492556	2	0	
37.167	6	0	16	16	1001059	0	800	
37.3542	3	0	16	14	2052398	10	0	
37.458	5	0	17	14	2275555	2	0	
38.262	4	0	17	14	1367938	2	0	
39.167	6	0	17	14	1627241	0	0	
39.3542	3	0	17	14	2178723	10	0	
39.458	5	0	18	15	2196527	4	0	
40.262	4	0	18	14	1085649	2	0	
41.167	6	0	18	14	1846233	0	0	
41.3542	3	0	18	14	2484575	8	0	
41.458	5	0	19	15	2564579	4	0	
42.262	4	0	19	12	1245285	4	0	
43.167	6	0	19	14	1890046	0	0	
43.3542	3	0	19	15	3026601	8	0	
43.458	5	0	20	16	2923973	4	0	
44.262	4	0	20	13	1471616	4	0	
45.167	6	0	20	14	1477176	0	0	
45.3542	3	0	20	16	3357377	8	0	
45.458	5	0	21	16	3070081	2	0	
46.262	4	0	21	13	1851997	4	0	
47.167	6	0	21	14	1568490	2	0	
47.3542	3	0	21	17	3268684	8	0	
47.458	5	0	22	17	2480868	2	0	
48.262	4	0	22	14	2282802	6	0	
49.167	6	0	22	14	2059770	2	0	
49.3542	3	0	22	18	2405873	8	0	
49.458	5	0	23	16	2194285	2	0	
50.262	4	0	23	14	2224360	4	0	
51.167	6	0	23	14	2119142	2	0	
51.3542	3	0	23	16	1500824	10	0	
51.458	5	0	24	15	1559390	2	0	
52.262	4	0	24	15	2617650	4	0	
53.167	6	0	24	14	2431891	4	0	
53.3542	3	0	24	14	1835595	10	0	
53.458	5	0	25	14	1236395	2	0	
54.262	4	0	25	16	2915302	4	0	
55.167	6	0	25	15	2792727	4	0	
55.3542	3	0	25	14	1926881	10	0	
55.458	5	0	26	14	1308029	2	0	
56.262	4	0	26	16	2292537	4	0	
57.167	6	0	26	16	2964535	4	0	
57.3542	3	0	26	14	1358218	10	0	
57.458	5	0	27	13	1314224	2	0	
58.262	4	0	27	16	1920000	4	0	
59.167	6	0	27	16	3202084	4	0	
59.3542	3	0	27	14	1525918	10	0	
59.458	5	0	28	13	1114557	4	0	
