Node,RequestDuration,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter
2,38,12876,13.3213,0.268794,7.76639e-05,24247,6.10363,0.222887
3,38,12892,13.2883,0.292663,0.000465405,24271,6.15149,0.229725
4,38,12910,13.3859,0.249243,0.000387297,24296,6.06092,0.205643
5,38,12559,13.4434,0.210462,0.000557369,23493,6.0035,0.186023
6,38,21,13.5595,0.407728,0.047619,34,6.74381,0.234325
