Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.358	2	0	0	1	2425263	2	5357	
5.36	3	0	0	1	2490810	2	5359	
5.36	4	0	0	1	2425263	2	5359	
5.36	5	0	0	1	2425263	0	5359	
7.358	2	0	1	14	2630458	2	0	
7.36	3	0	1	14	2677124	2	0	
7.36	4	0	1	14	2720303	2	0	
7.36	5	0	1	14	1451746	2	0	
9.358	2	0	2	15	2835069	2	0	
9.36	3	0	2	15	2833201	2	0	
9.36	4	0	2	15	2836939	2	0	
9.36	5	0	2	14	2836004	2	0	
11.358	2	0	3	16	2903248	4	0	
11.36	3	0	3	16	2872706	4	0	
11.36	4	0	3	16	2901534	4	0	
11.36	5	0	3	15	2835069	2	0	
13.358	2	0	4	16	2748993	4	0	
13.36	3	0	4	16	2776949	4	0	
13.36	4	0	4	16	2748993	4	0	
13.36	5	0	4	16	2805479	4	0	
15.358	2	0	5	16	2871028	4	0	
15.36	3	0	5	16	2901534	4	0	
15.36	4	0	5	16	2839514	4	0	
15.36	5	0	5	16	2872706	4	0	
17.358	2	0	6	16	2745921	4	0	
17.36	3	0	6	16	2748993	4	0	
17.36	4	0	6	16	2871028	4	0	
17.36	5	0	6	16	2476171	4	0	
19.358	2	0	7	16	2837875	4	0	
19.36	3	0	7	16	2837875	4	0	
19.36	4	0	7	16	2775381	4	0	
19.36	5	0	7	16	2839514	4	0	
21.358	2	0	8	16	2871028	4	0	
21.36	3	0	8	16	2871028	4	0	
21.36	4	0	8	16	2901534	4	0	
21.36	5	0	8	16	2872706	4	0	
23.358	2	0	9	16	2776949	4	0	
23.36	3	0	9	16	2775381	4	0	
23.36	4	0	9	16	2748993	4	0	
23.36	5	0	9	16	2773815	4	0	
25.358	2	0	10	16	2901534	6	0	
25.36	3	0	10	16	2901534	6	0	
25.36	4	0	10	16	2839514	6	0	
25.36	5	0	10	16	2904964	4	0	
27.358	2	0	11	16	2748993	6	0	
27.36	3	0	11	16	2750531	6	0	
27.36	4	0	11	16	2871028	6	0	
27.36	5	0	11	16	2747456	6	0	
29.358	2	0	12	16	2841156	6	0	
29.36	3	0	12	16	2841156	6	0	
29.36	4	0	12	16	2776949	6	0	
29.36	5	0	12	16	2841156	6	0	
31.358	2	0	13	16	2871028	6	0	
31.36	3	0	13	16	2871028	6	0	
31.36	4	0	13	16	2901534	6	0	
31.36	5	0	13	16	2871028	6	0	
33.358	2	0	14	16	2776949	6	0	
33.36	3	0	14	16	2775381	6	0	
33.36	4	0	14	16	2748993	6	0	
33.36	5	0	14	16	2773815	6	0	
35.358	2	0	15	16	2901534	6	0	
35.36	3	0	15	16	2901534	6	0	
35.36	4	0	15	16	2841156	6	0	
35.36	5	0	15	16	2904964	6	0	
37.358	2	0	16	16	2748993	8	0	
37.36	3	0	16	16	2750531	8	0	
37.36	4	0	16	16	2871028	8	0	
37.36	5	0	16	16	2747456	6	0	
39.358	2	0	17	16	2841156	8	0	
39.36	3	0	17	16	2841156	8	0	
39.36	4	0	17	16	2776949	8	0	
39.36	5	0	17	16	2841156	6	0	
