Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate,Tinit,Frebuf,Trebuf,MOS
57,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
58,4126,1131085,124427,7.5,7.5,0,0,NoStalling,0,0,579.5,208,63.068,1131085,2,1,1,3.2476
59,4126,1.13115e+06,124491,7.5,7.5,0,0,NoStalling,0,0,579.5,208,63.068,1.13115e+06,2,1,1,3.2476
60,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
61,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
62,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,1,1,1,3.3148
63,3912,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
64,3905,1.22591e+06,38131.9,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1.22591e+06,2,1,1,3.2476
65,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
66,3905,1.22578e+06,38094.4,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1.22578e+06,2,1,1,3.2476
67,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
68,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
69,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
70,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
71,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
72,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
73,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
74,4005,1.22862e+06,46548.1,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1.22862e+06,2,1,1,3.2476
75,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
76,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
77,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
78,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
79,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
80,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
81,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
82,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
83,3905,1232527,39901.8,0,0,0,0,NoStalling,0,0,632.5,208,63.6734,1232527,2,1,1,3.2476
84,4126,1.13115e+06,124491,7.5,7.5,0,0,NoStalling,0,0,579.5,208,63.068,1.13115e+06,2,1,1,3.2476
