Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.279	3	0	0	1	1480085	0	5278	
5.282	2	0	0	1	1467515	0	5281	
5.283	4	0	0	1	1665542	0	5282	
5.287	5	0	0	1	1588965	0	5286	
5.288	6	0	0	1	1393548	0	5287	
20.279	3	0	1	11	1401327	0	0	
20.282	2	0	1	11	1385242	0	0	
20.283	4	0	1	12	1806409	0	0	
20.287	5	0	1	12	1808792	0	0	
20.288	6	0	1	11	1454223	0	0	
35.279	3	0	2	13	1408635	0	0	
35.282	2	0	2	13	2260763	15	0	
35.283	4	0	2	14	1348635	0	0	
35.287	5	0	2	14	1449740	0	0	
35.288	6	0	2	13	1578352	0	0	
