Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.517	136	0	0	1	86050	4	5411	
7.517	136	0	1	1	240626	4	0	
9.517	136	0	2	4	1140658	4	0	
11.517	136	0	3	11	1278961	4	0	
13.517	136	0	4	12	1221090	4	0	
15.517	136	0	5	12	1248377	4	0	
17.517	136	0	6	13	1276012	4	0	
19.517	136	0	7	13	1210044	4	0	
21.517	136	0	8	13	1231262	4	0	
23.517	136	0	9	13	1271391	4	0	
25.517	136	0	10	13	1253238	4	0	
27.517	136	0	11	13	1231262	4	0	
29.517	136	0	12	13	1253238	4	0	
31.517	136	0	13	13	1276012	4	0	
33.517	136	0	14	13	1210044	6	0	
35.517	136	0	15	13	1103052	6	0	
37.517	136	0	16	12	1121659	6	0	
39.517	136	0	17	12	1248377	6	0	
41.517	136	0	18	13	1110027	6	0	
43.517	136	0	19	12	1248377	6	0	
45.517	136	0	20	13	1276012	6	0	
47.517	136	0	21	13	1099597	6	0	
49.517	136	0	22	12	1143990	6	0	
51.517	136	0	23	12	1248377	6	0	
53.517	136	0	24	13	1230646	6	0	
55.517	136	0	25	13	1253238	6	0	
57.517	136	0	26	13	1276012	6	0	
59.517	136	0	27	13	1209448	6	0	
