Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.36568	3	0	0	1	1510819	2	5365	
5.36953	2	0	0	1	1536000	2	5369	
5.37346	4	0	0	1	1562033	2	5373	
5.37728	5	0	0	1	1588965	2	5377	
5.38119	6	0	0	1	1616842	2	5381	
7.36568	3	0	1	12	1691451	4	0	
7.36953	2	0	1	12	1557812	2	0	
7.37346	4	0	1	12	1556606	2	0	
7.37728	5	0	1	12	1549411	2	0	
7.38119	6	0	1	12	1542282	2	0	
9.36568	3	0	2	14	1778660	4	0	
9.36953	2	0	2	13	1486751	2	0	
9.37346	4	0	2	13	1484058	2	0	
9.37728	5	0	2	13	1485852	2	0	
9.38119	6	0	2	13	1488552	2	0	
11.3657	3	0	3	14	2830404	2	0	
11.3695	2	0	3	14	1326179	2	0	
11.3735	4	0	3	14	1318252	2	0	
11.3773	5	0	3	14	1312219	2	0	
11.3812	6	0	3	14	1305052	2	0	
13.3657	3	0	4	16	2472434	2	0	
13.3695	2	0	4	13	1369899	2	0	
13.3735	4	0	4	13	1430500	2	0	
13.3773	5	0	4	13	1430500	2	0	
13.3812	6	0	4	13	1432167	2	0	
15.3657	3	0	5	16	1640587	4	0	
15.3695	2	0	5	13	1295519	2	0	
15.3735	4	0	5	14	1675745	2	0	
15.3773	5	0	5	14	1685596	2	0	
15.3812	6	0	5	14	1695564	2	0	
17.3657	3	0	6	14	1984221	4	0	
17.3695	2	0	6	13	1293473	4	0	
17.3735	4	0	6	14	1590238	2	0	
17.3773	5	0	6	14	1582340	2	0	
17.3812	6	0	6	14	1574519	2	0	
19.3657	3	0	7	14	2178723	4	0	
19.3695	2	0	7	13	1501282	4	0	
19.3735	4	0	7	14	1439357	2	0	
19.3773	5	0	7	14	1369899	2	0	
19.3812	6	0	7	14	1377137	2	0	
21.3657	3	0	8	15	2338662	4	0	
21.3695	2	0	8	14	1864239	2	0	
21.3735	4	0	8	14	1114341	2	0	
21.3773	5	0	8	14	1119562	2	0	
21.3812	6	0	8	14	1069451	2	0	
23.3657	3	0	9	15	2727203	4	0	
23.3695	2	0	9	14	1989729	2	0	
23.3735	4	0	9	13	1204705	2	0	
23.3773	5	0	9	13	1266804	2	0	
23.3812	6	0	9	13	1272708	4	0	
25.3657	3	0	10	16	2794315	4	0	
25.3695	2	0	10	14	989030	4	0	
25.3735	4	0	10	13	1218443	2	0	
25.3773	5	0	10	13	1219652	2	0	
25.3812	6	0	10	13	1953577	4	0	
27.3657	3	0	11	16	2628449	4	0	
27.3695	2	0	11	13	1160888	4	0	
27.3735	4	0	11	13	1278668	2	0	
27.3773	5	0	11	13	1218443	2	0	
27.3812	6	0	11	14	2170477	4	0	
29.3657	3	0	12	16	2088020	4	0	
29.3695	2	0	12	13	1586572	4	0	
29.3735	4	0	12	13	1142007	2	0	
29.3773	5	0	12	13	1189545	2	0	
29.3812	6	0	12	14	2114454	4	0	
31.3657	3	0	13	15	1772794	4	0	
31.3695	2	0	13	14	2130163	4	0	
31.3735	4	0	13	12	1251484	4	0	
31.3773	5	0	13	13	1272708	2	0	
31.3812	6	0	13	14	1763345	4	0	
33.3657	3	0	14	14	1729312	6	0	
33.3695	2	0	14	14	2022002	4	0	
33.3735	4	0	14	13	1439718	4	0	
33.3773	5	0	14	13	1543718	4	0	
33.3812	6	0	14	14	1649712	4	0	
35.3657	3	0	15	14	1915297	6	0	
35.3695	2	0	15	14	1237462	4	0	
35.3735	4	0	15	13	1620039	4	0	
35.3773	5	0	15	14	1774257	4	0	
35.3812	6	0	15	14	1811244	4	0	
37.3657	3	0	16	14	2067195	6	0	
37.3695	2	0	16	14	1314023	4	0	
37.3735	4	0	16	14	1546494	2	0	
37.3773	5	0	16	14	2510683	4	0	
37.3812	6	0	16	14	1039971	4	0	
39.3657	3	0	17	14	1880131	8	0	
39.3695	2	0	17	13	1186673	4	0	
39.3735	4	0	17	14	1408251	2	0	
39.3773	5	0	17	15	2691364	4	0	
39.3812	6	0	17	13	1048017	6	0	
